task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,num_mem_tokens,segment_ordering,model_path,sum_loss,num_steps,best_valid_f1
,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,1024,1,10,regular,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs128_iters3000_regular/run_10,False,240,0.0
,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,1024,2,10,regular,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs128_iters3000_regular/run_10,False,3000,0.8085106611251831
qasper,t5-base,,modeling_rmt_enc_dec_ilm:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_ilm/run_2,False,5000,11.489500045776367
qasper,t5-base,,modeling_rmt_enc_dec_ilm:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_ilm/run_1,False,5000,10.171799659729004
qasper,t5-base,,modeling_rmt_enc_dec_ilm:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_ilm/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_mem_loss_rc0.05_prs_2000/run_1,False,2000,9.348099708557129
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_mem_loss_rc0.05_prs_2000/run_1,False,5000,9.590200424194336
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.05_prs_2000/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,1,linear,1024,2,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.0001_prs_2000/run_1,False,300,0.0
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,4,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{4}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.01/run_2,False,5000,9.248100280761719
